old_hts10,new_hts10,effective_date,change_type,partial,action_old,action_new,nomenclature,same_date_reuse,source_doc,source_doc_sha256,source_page,source_row_id,override_id
0805408000,0805408010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,6,484f_2025-01.pdf#r0032;484f_2025-01.pdf#r0033,NA
0805408000,0805408090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,6,484f_2025-01.pdf#r0032;484f_2025-01.pdf#r0034,NA
0810904610,0810904675,2025-01-01,rename,FALSE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,7,484f_2025-01.pdf#r0035;484f_2025-01.pdf#r0036,NA
2710124590,2710124560,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,17,484f_2025-01.pdf#r0073;484f_2025-01.pdf#r0074,NA
2710124590,2710124595,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,17,484f_2025-01.pdf#r0074;484f_2025-01.pdf#r0075,NA
2804290050,2804290020,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,8,484f_2025-01.pdf#r0037;484f_2025-01.pdf#r0039,NA
2804290050,2804290030,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,8,484f_2025-01.pdf#r0038;484f_2025-01.pdf#r0039,NA
2804290050,2804290055,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,8,484f_2025-01.pdf#r0039;484f_2025-01.pdf#r0040,NA
2805199000,2805199010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,8,484f_2025-01.pdf#r0041;484f_2025-01.pdf#r0042,NA
2805199000,2805199090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,8,484f_2025-01.pdf#r0041;484f_2025-01.pdf#r0043,NA
2822000000,2822000010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,9,484f_2025-01.pdf#r0044;484f_2025-01.pdf#r0045,NA
2822000000,2822000090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,9,484f_2025-01.pdf#r0044;484f_2025-01.pdf#r0046,NA
2826909000,2826909010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,10,484f_2025-01.pdf#r0047;484f_2025-01.pdf#r0048,NA
2826909000,2826909090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,10,484f_2025-01.pdf#r0047;484f_2025-01.pdf#r0049,NA
2833295100,2833295110,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,10,484f_2025-01.pdf#r0050;484f_2025-01.pdf#r0051,NA
2833295100,2833295190,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,10,484f_2025-01.pdf#r0050;484f_2025-01.pdf#r0052,NA
3801105000,3801105010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,11,484f_2025-01.pdf#r0053;484f_2025-01.pdf#r0054,NA
3801105000,3801105090,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,11,484f_2025-01.pdf#r0053;484f_2025-01.pdf#r0055,NA
3818000090,3818000020,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,12,484f_2025-01.pdf#r0056;484f_2025-01.pdf#r0058,NA
3818000090,3818000030,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,12,484f_2025-01.pdf#r0057;484f_2025-01.pdf#r0058,NA
3818000090,3818000095,2025-01-01,split,TRUE,Discontinued,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,12,484f_2025-01.pdf#r0058;484f_2025-01.pdf#r0059,NA
3824993900,3824993910,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,12,484f_2025-01.pdf#r0060;484f_2025-01.pdf#r0061,NA
3824993900,3824993990,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,12,484f_2025-01.pdf#r0060;484f_2025-01.pdf#r0062,NA
3921190000,3921190010,2025-01-01,split,TRUE,Annotated,Established,HTS,FALSE,484f_2025-01.pdf,48a5e8fb7bcb98cee0d2ac3757768f7a618bc8794da39dbc35358cf501cf337b,13,484f_2025-01.pdf#r0063;484f_2025-01.pdf#r0064,NA
