hts10,country,s232_annex,months,realized_vw,T_full_vw,T_us_vw,T_exit_vw,share_full,share_us_origin,share_exit,share_unexplained,share_ambiguous,z0_raw_vw,u_raw_vw,any_partial_month,con_val
8415908070,5490,annex_1b,2,0.23502587372480535,0.26185756153463574,0.11185756153463575,0.011857561534635744,1,0,0,0,0,0.10732675123932152,0.17887791873220252,TRUE,118553862
3004909225,5330,annex_1b,2,4.220604093055161e-4,0.25,0.1,0,0,0,1,0,0,0.998311758362778,1.6638529306046301,TRUE,117639558
8517710000,5520,annex_1b,2,0.1004867079548475,0.25,0.1,0,0,1,0,0,0,0.5980531681806098,0.9967552803010168,TRUE,115311450
3004909215,4419,annex_1b,2,4.367550514761688e-6,0.25,0.10000000000000002,0,0,0,1,0,0,0.999982529797941,1.6666375496632353,TRUE,114480645
8703210150,2010,annex_1b,2,0.1712453788699048,0.04189440985460767,0.10380858271405524,0.01904291357027621,0,0.3876277743685038,0,0.6123722256314962,0,-5.660503251333655,NA,TRUE,114318898
8415103060,5490,annex_1b,2,0.23102327294015074,0.25,0.10000000000000003,0.10000000000000003,1,0,0,0,0,0.1265115137323284,0.1265115137323284,TRUE,110984602
8471490000,5490,annex_1b,2,0.010532139962869662,0.25,0.1,0,0,0,1,0,0,0.9578714401485213,1.596452400247536,TRUE,109140403
3004909276,4330,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,108889934
8504230080,3510,annex_3,2,0.07176260127717961,0.15,0.10000000000000003,0.10792156651357392,0,0.8210183113149935,0,0.1789816886850065,0.8210183113149935,1.8593229890095286,1.5647479744564086,TRUE,108001255
8708998180,5700,annex_1b,2,0.4126693039680886,0.5071092478548579,0.35710924785485787,0.357109247854858,0,0,0,1,0,0.6295996259117955,0.6295996259117952,TRUE,107593314
8504907500,2010,annex_3,2,0.008202627619166248,0.15,0.1,0.0017212396089240634,0,0,1,0,0,0.9562891678272201,2.835947447616676,TRUE,107474707
7610100010,3010,annex_1a,2,0.10809835206393403,0.5,0.1,0.1,0,1,0,0,1,0.9797541198401649,0.9797541198401649,TRUE,107082613
8501314000,2010,annex_1b,2,0.012046201407234837,0.0271453525709364,0.10374418656150848,0.01310465296527964,0,0,1,0,1,1.0753845312393389,NA,TRUE,106459701
8504230080,2010,annex_3,2,0.1479982305306153,0.004398375669846017,0.1,0.0034014105180142527,0,0.44578702378019136,0,0.5542129762198086,0,-144.03698524158793,NA,TRUE,105717568
7606123091,5700,annex_1a,2,0.7798234716702689,0.75,0.3499999999999999,0.3499999999999999,1,0,0,0,0,-0.0745586791756722,-0.0745586791756722,TRUE,105074806
7601209045,1220,annex_1a,2,0.4981052272133056,0.5,0.10000000000000002,3.773779856242388e-4,1,0,0,0,0,0.003792407915908824,0.004736931966736102,TRUE,102051814
8479899599,2010,annex_3,2,0.0432759530265466,0.014596880536323853,0.10000000000000003,0.002432813422720642,1,0,0,0,1,-2.357687788334431,NA,TRUE,101890997
3004909276,4280,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,100848670
8541900010,5520,annex_1b,2,0.016367887228759904,0.25,0.1,0,0,0,1,0,0,0.9345284510849604,1.5575474184749343,TRUE,100656302
8708998180,5880,annex_1b,2,0.12947135639238405,0.27496721220433373,0.12496721220433374,0.12496721220433377,0,0.48551907383033194,0.514480926169668,0,1,0.9699723720796648,0.9699723720796645,TRUE,99841404
8504220080,2010,annex_1b,2,0.23026739107603794,0.25,0.1,2.0485192766028784e-5,1,0,0,0,0,0.07893690384661488,0.13155072615974714,TRUE,94903429
3004909225,4279,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.666666666666667,TRUE,92285809
8705100050,4280,annex_1b,2,0.22477813944901232,0.25,0.1,0.1,1,0,0,0,0,0.16814573700658458,0.16814573700658458,TRUE,91651377
8504340000,2010,annex_3,2,0.06996095106858877,0.024382839583796598,0.10000000000000002,0.018856062611469368,0,1,0,0,1,-8.246779581119956,NA,TRUE,91594824
7318141060,5830,annex_1a,2,0.5363594289211758,0.5588654872788951,0.15886548727889507,0.15886548727889502,1,0,0,0,0,0.056265145894298055,0.056265145894298055,TRUE,91182579
7224900055,2010,annex_1a,2,0.35952300441707513,0.5,0.1,0,0,0,0,1,0,0.28095399116584974,0.3511924889573122,TRUE,91070445
8431499094,2010,annex_1b,2,0.2413533977804375,0.25,0.10000000000000002,0.026727103892112417,1,0,0,0,0,0.03872660932110809,0.057644014797083455,TRUE,90770771
8415820105,5490,annex_1b,2,0.25502306245125794,0.26863331098299903,0.11863331098299904,0.018633310982999033,1,0,0,0,0,0.05444099412696423,0.09073499021160705,TRUE,90643010
3004909236,5330,annex_1b,2,0,0.25,0.09999999999999999,0,0,0,1,0,0,1,1.6666666666666667,TRUE,89864301
8467290040,5520,annex_1b,2,0.11038932259421187,0.25,0.10000000000000002,0.10000000000000002,0,1,0,0,1,0.93073784937192106,0.93073784937192106,TRUE,88085666
8503009570,4280,annex_1b,2,0.22501689430971938,0.27809006338136444,0.12809006338136444,0.12809006338136444,0.00893715155255143,0,0,0.9910628484474485,0,0.3538211271443003,0.3538211271443003,TRUE,87909777
3004909246,5330,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666672,TRUE,87043679
7605110000,1220,annex_1a,2,0.5000019687134377,0.5,0.1,0,1,0,0,0,0,-3.937426875267219e-6,-4.9217835940840244e-6,TRUE,86350810
3004909276,4190,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,85761629
8544422000,2010,annex_1b,2,0.19482170457624845,0.25,0.10000000000000002,0.055556858306894406,0.5978547455177187,0,0,0.4021452544822813,0,0.2837759920112832,0.3678553028250103,TRUE,83819706
7606123096,1220,annex_1a,2,0.4991998745629086,0.5000222203993906,0.1000222203993906,9.628839735942086e-5,1,0,0,0,0,0.0016449353470998507,0.0020558645912049436,TRUE,83624388
8471705065,5490,annex_1b,2,0.0011299029491058101,0.25,0.1,0,0,0,1,0,0,0.9954803882035768,1.659133980339295,TRUE,82892075
8807300030,5700,annex_1b,2,0.2509031000864762,0.5,0.35,0.25,0,0,1,0,0,0.9963875996540953,1.6606459994234917,TRUE,82756885
7601209085,1220,annex_1a,2,0.4995109356687355,0.5,0.10000000000000002,0,1,0,0,0,0,9.781286625290212e-4,0.0012226608281612765,TRUE,82401225
3004909246,5880,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.666666666666667,TRUE,80665201
8415908020,2010,annex_1b,2,0.23467079170049107,0.029947615186050644,0.10158813110835117,0.0015881311083511705,0,0,0,1,0,-7.218861103168827,NA,TRUE,79482823
7606123091,4280,annex_1a,2,0.5268393677395118,0.53,0.13000000000000003,0.13,1,0,0,0,0,0.007901580651220805,0.007901580651220805,TRUE,79456175
8418998060,2010,annex_1b,2,0.07979170065004607,0.25,0.1,0.006525019908551188,0,1,0,0,0,0.6990792207315264,1.1347219956663597,TRUE,79266690
8502130040,1220,annex_1b,2,0,3.4585142442444594e-4,0.10002561862403145,2.5618624031440445e-5,0,0,1,0,1,1.08,NA,TRUE,79214051
7214200000,5800,annex_1a,2,0.5000002423961044,0.5,0.1,0.1,1,0,0,0,0,-6.059902609414438e-7,-6.059902609414438e-7,TRUE,78384098
8536904000,2010,annex_1b,2,0.020293565145153073,0.25,0.10000000000000002,0.015779532117117613,0,0,1,0,0,0.980727418620423,1.5313762323656466,TRUE,77925736
3004909276,4700,annex_1b,2,1.8661232341794331e-4,0.25,0.10000000000000002,0,0,0,1,0,0,0.9992535507063283,1.6654225845105475,TRUE,77234985
3004909225,4280,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,76830231
8428900390,1220,annex_3,2,0.10739974245969794,0.15,0.1,0,0,1,0,0,0.5366562048445754,0.28400171693534704,0.8520051508060414,TRUE,75563319
8471602000,5520,annex_1b,2,7.018356820739595e-4,0.25,0.1,0,0,0,1,0,0,0.9971926572717041,1.6619877621195072,TRUE,74771063
8471609050,5520,annex_1b,2,6.817311564977237e-4,0.25,0.1,0,0,0,1,0,0,0.9972730753740091,1.6621217922900153,TRUE,74573385
