hts10,cty_code,usmca_share
0604200020,1220,0
0604200040,1220,0
0604200060,1220,0
0604200065,1220,0
0604200065,2010,0
0604200070,1220,0
0604200072,1220,0
0604200072,2010,0
0604200078,1220,0
0604200082,1220,0
0604200084,1220,0
0604200084,2010,0
0604200086,1220,0
0604200086,2010,0
0604901000,1220,0
0604901000,2010,0
0604903000,1220,0
0604903000,2010,0
0604906000,1220,0.952979075175084
0604906000,2010,1
0701100020,1220,1
0701100040,1220,0.9979508163540901
0701901010,1220,0.9994001517436486
0701901060,1220,0.9999371351329466
0701905005,1220,1
0701905017,1220,0.9995581447437313
0701905017,2010,1
0701905021,1220,1
0701905037,1220,0.9903213948327614
0701905037,2010,1
0701905041,1220,1
0701905043,1220,1
0701905046,1220,1
0701905056,1220,1
0701905066,1220,0.9998962595341554
0701905076,1220,1
0702002002,1220,1
0702002002,2010,1
0702002004,1220,1
0702002004,2010,0.9959038147798325
0702002006,1220,1
0702002006,2010,1
0702002008,1220,1
0702002008,2010,1
0702002019,1220,1
0702002019,2010,1
0702002026,1220,1
0702002026,2010,0.9998863622429197
0702002032,1220,1
0702002032,2010,0.9998321328930698
0702002036,1220,1
0702002036,2010,0.9998984053007427
0702002042,1220,0.9998755070909271
0702002042,2010,0.9999198233101743
0702002043,1220,1
0702002043,2010,1
0702002044,1220,1
0702002044,2010,1
0702002048,1220,1
0702002048,2010,1
0702002050,1220,1
0702002050,2010,1
0702002052,1220,1
0702002052,2010,1
0702002062,1220,1
0702002062,2010,1
0702002066,1220,1
0702002066,2010,1
0702002081,1220,1
0702002081,2010,1
0702002092,1220,1
0702002092,2010,1
0702004002,1220,1
0702004002,2010,1
0702004004,2010,1
0702004006,1220,1
0702004006,2010,1
0702004008,1220,1
0702004008,2010,1
0702004019,1220,1
0702004019,2010,1
0702004021,1220,1
0702004021,2010,1
0702004023,1220,0.9969959185730699
0702004023,2010,0.9998958726249588
0702004027,1220,1
0702004027,2010,1
0702004032,1220,1
0702004032,2010,1
0702004037,1220,1
0702004037,2010,1
0702004041,1220,1
0702004041,2010,1
0702004047,1220,1
0702004047,2010,1
0702004066,1220,1
0702004066,2010,1
0702004081,1220,1
0702004081,2010,1
0702004092,1220,1
0702004092,2010,1
0702006002,1220,1
0702006002,2010,1
0702006004,1220,1
0702006004,2010,1
0702006006,1220,1
0702006006,2010,1
0702006008,1220,1
0702006008,2010,0.9990522348094695
0702006019,1220,0.9918504425255925
0702006019,2010,0.9998896978083948
0702006021,1220,1
0702006021,2010,0.9993795897671075
0702006023,1220,1
0702006023,2010,0.9999405366342795
0702006027,1220,0.995552216934314
0702006027,2010,0.9995426594574247
0702006032,1220,0.9960633313876865
0702006032,2010,0.9996894636419431
0702006033,2010,1
0702006034,2010,1
0702006037,2010,1
0702006038,2010,1
0702006039,1220,1
0702006039,2010,1
0702006046,1220,1
0702006046,2010,1
0702006066,1220,1
0702006066,2010,1
0702006081,2010,1
0702006092,1220,1
0702006092,2010,0.9996838010833989
0703102000,1220,1
0703102000,2010,1
0703104025,1220,1
0703104025,2010,1
0703104045,1220,1
0703104045,2010,1
0703104065,1220,0.9992523967176792
0703104065,2010,0.9999651569574216
0703104070,1220,1
